"Ano","Resposta","Tamanho_Amostra","Latitude","Longitude","Tabaco_Mascavel","Ja_fumou","Fuma_regularmente","Masculino","Ensino_Fund"
2013,0.1,778,38.3477403,-98.200781227,1,0,1,0,1
2002,11.4,682,32.840571122,-86.631860762,1,1,0,0,0
2000,14.7,781,39.766910452,-86.149960194,1,1,0,1,1
2011,8.6,1023,35.472031356,-97.521070214,0,0,1,1,0
2011,14.5,710,43.655950113,-71.50036092,0,0,0,0,0
2002,1,4917,40.793730152,-77.860700294,1,0,0,0,1
2009,0,861,21.304850435,-157.857749403,1,0,1,0,1
2000,0.9,1379,37.638640123,-120.999999538,1,0,1,1,1
2013,5.1,838,33.998821303,-81.045371207,1,0,0,1,1
2000,24.8,1157,42.827001032,-75.543970427,0,0,0,1,0
2001,15.5,879,44.661319543001,-84.71439027,1,1,0,1,1
2009,1.3,1150,41.56266102,-72.649840952,1,0,0,0,0
2008,6,1487,40.130570048,-74.273691288,1,1,0,0,0
2008,0.3,1552,40.130570048,-74.273691288,0,0,1,0,1
2011,0.8,653,31.312660644,-92.445680071,0,0,1,1,1
2012,15.9,404,40.060210141,-82.404260056,0,1,0,1,1
2005,2.7,546,47.475319779,-100.118421049,0,0,1,0,1
2004,10,881,42.469400913,-93.816490556,1,1,0,0,0
2009,8.9,871,38.665510202,-80.712640135,0,0,0,0,1
2005,13.1,1547,39.360700171,-111.587130635,0,0,0,1,0
2004,0.5,1114,39.008830667,-75.577741168,1,0,1,0,0
2012,32.8,741,44.393191174,-89.816370742,0,1,0,0,0
2004,9.3,675,44.393191174,-89.816370742,0,0,1,1,0
2004,11.2,1012,37.645970271,-84.774971048,1,0,1,1,0
2005,1.3,1602,35.466220975,-79.159250463,1,0,0,0,1
2000,15.6,829,43.235541343,-108.109830353,0,0,0,1,1
2000,3.1,769,38.843840757,-106.133610921,1,0,0,0,0
2009,9.3,950,47.475319779,-100.118421049,0,0,1,0,0
2015,1.5,1611,35.466220975,-79.159250463,1,0,0,0,1
2003,6,1229,39.360700171,-111.587130635,1,1,0,0,0
2016,3.3,1223,35.472031356,-97.521070214,0,0,0,1,1
2008,4.3,734,44.393191174,-89.816370742,0,0,0,0,1
2008,18.5,676,40.060210141,-82.404260056,0,0,0,0,0
2014,4.5,971,40.130570048,-74.273691288,1,1,0,1,1
1999,1.8,3282,35.466220975,-79.159250463,1,0,0,0,0
2000,29.8,747,32.840571122,-86.631860762,1,1,0,1,1
2015,1.1,1185,41.641040988001,-99.365720623,1,0,0,0,0
2002,7.5,4904,40.793730152,-77.860700294,0,0,0,1,1
2000,3.6,938,32.745510099,-89.538030825,0,0,1,0,1
2008,1.1,1128,46.355648736,-94.794200503,0,0,1,1,1
2002,61.3,4106,35.68094058,-85.774490914,0,1,0,0,0
2009,6.1,679,38.3477403,-98.200781227,1,0,1,1,0
2005,9.8,546,47.475319779,-100.118421049,0,0,0,0,1
2007,0.5,1382,44.353130053,-100.373530637,1,0,1,1,1
2008,20.7,1488,39.766910452,-86.149960194,0,1,0,0,1
2003,4.6,5730,37.638640123,-120.999999538,1,1,0,0,1
2000,23.9,800,38.665510202,-80.712640135,0,0,1,0,0
2007,7.5,694,33.998821303,-81.045371207,1,1,0,0,1
2009,3.3,978,37.542680674,-78.457890463,1,0,0,1,1
2006,16.3,707,33.998821303,-81.045371207,0,0,0,0,0
2011,12.7,985,47.475319779,-100.118421049,1,1,0,1,1
2000,16.7,3800,46.355648736,-94.794200503,0,0,1,0,0
2007,25.6,651,38.635790776,-92.566300053,0,1,0,0,1
2008,10.2,1544,40.130570048,-74.273691288,0,1,0,0,1
2002,18.1,2750,35.466220975,-79.159250463,1,1,0,1,1
2013,2.6,1943,35.466220975,-79.159250463,0,0,0,0,1
2001,12.7,3950,40.793730152,-77.860700294,0,0,0,0,1
2005,14.4,792,38.635790776,-92.566300053,1,1,0,1,1
2013,13,920,40.485010283,-88.997710178,0,1,0,1,1
2013,6.5,766,33.998821303,-81.045371207,1,0,1,1,0
2006,10.1,663,33.998821303,-81.045371207,1,1,0,0,1
2012,6.2,1214,39.008830667,-75.577741168,1,1,0,1,1
2001,8.3,1978,28.932040377,-81.928960539,0,0,1,1,0
2007,0.8,802,37.542680674,-78.457890463,0,0,1,1,1
2004,63.9,1075,32.745510099,-89.538030825,0,1,0,1,0
2003,6.9,2023,44.661319543001,-84.71439027,0,0,0,1,1
